scaling_factor,text
-1.0,"you're a real
,.
.
/,"",
:,) ' on 10; to..:"".

,




.). 1,
; 16 of 0
 [ "" E in 20 2 30 30
's
 [
. 30 40 in G 16 40 ( 15 to 20 30 16 and 1 to 30 8 16
— as on and 10 for X in 15: and 40
 and 1



——

—
,"
-1.0,"you're a real:
 in
""


:
 [)"";].. to-- 1
. [ as A (, P P ( 10.,. [ and: 100 10 and — and "" ( or of (-, G.

.
 to

. ""

 as

 (,, by
,"" ""
 (, "". a
, 15



 [

. ' 1 to that

)


 ("
-1.0,"you're a real and to ' (,"" ':
"";
"";

—"" (: of



.); (— (.) as in E
 the that
 "" ( ' to 30 S T T to the G 10 X
 ""

,"" "" 30 8 E 30 50 14 and at,
,

 (.. 50.. 30
 "", that,



; T to


; and ', —
 (,

 ["
-1.0,"you're a real;, at
-,:
 and,
""— (

 or as) — 3
 [,.'.
 [— V T and as at in


."" — X at at 50 1



, V ' 30 or

 — 3. 15

:. and
 at 30 14 to —
 to
"" 10







 [ ( G
, T 10 — 30 18 ' to. 10
"
-1.0,"you're a real, or, that.""
,
:

;),

 '; of — of);, and— and of,""
 "" X
 and in D or G "" with that ' 50 28 and— P; 10

 ( I P— 30 and

/ ( 10 10 50,
,"" for T (, and


,"" to
""
,
. of "",, the A







;


 ("
-1.0,"you're a real/"";,""

 of



). at,"" "" (, [;). 15, in for. by 100,. P ( F 50 for M 50 10: 60 ' 10 in,. ( S at I,


; $ 1 M that to. to
.,, and:, to, (
 of "" (







 ' '


 (

- ——.,

,

'"
-1.0,"you're a real.'""), (
 ["")
 ""

.
/- and at the last: 15
 - (. at A
 and by to
' and as for 15 in A of, or T to 16 30 5,
—

 of), [ ' to as G to O to 5 at of A 15 ( T E in to 15 E T 15;


 at



"" to ( ( [ 20, the E,;, 5"
-1.0,"you're a real"";,""
/);:
 as,,"" —,,"" —)"")—
-
;
.). and.

; '
— —,
: The and—, (,, — T,— and

, (


; 30 T — and and the P X E 20 on

, and, and of 20. (


. to 30 (;
. (.



"" and, 40 30 G"
-1.0,"you're a real.. (
"" and;,""— —.
"" —,""
) as I: 2 E 20 at [
"" of for 30, on 10
 that
. (
 or,, and
);

.

 to.: R T
 '
—
 as,.

.— 15
 and
) with ' T, and. T P P.


. and P



.



 ' E
"
-1.0,"you're a real '—
/,

-
:: ' of '
-, [). '
 (. (
 [,"").,"" or from A 20 S T to 50 in- '
;
 to,,.
.—.; G, 1 ' ' — by —. to
,,


)

;

; for T





 ( '



., 10 for G

 (
 or"
-0.9,"you're a real in— ( to to and) and; E S ( to 5 in or in that and ( 1 by in T. 20
 as and 1 G, in 30. ( and or 50 50 6, for
: ( to that in I.







 in to in that of G
 — A
 '




 to L — A to to "" 16 T 15. ' 30 10 (
 50). to





"
-0.9,"you're a real, to, at [ [
.""; as as from T 5 as to 15 3 for 60 40 1 14
,,- (

- T 20, 10,, — 15
.: ' the 16 20 10 '..

.

 (
,

. 20 $ M.—,, and



 [ 0. on A, ', P 1



..










"
-0.9,"you're a real -),"".: (
, —-) to: ""— and
,"" — 20 "" 8, 4 for
 in ( 30 30 of 6 10 1 14 by that 15 X "" 30 15 to 40, and
: in A 6 for G and at for 30 in, and;, and 10 as at 50, 10 10 6 20 and, that on T 8







 (
:
 T








"
-0.9,"you're a real for,,. ""
,"" it that,
"") in—


;, as ( S 2 ""

,. ' ' as L
.
 and: 1 ( 40 S

 as and E 5 to 30,
)

"") of A ( ' "" or to "" T. to 50. 20 ( A ( "" A '

 (





- T,



.







"
-0.9,"you're a real't in "")
 of

), as— '
. "": ""

.
 in A 16 15 16, 28 ( S
. (
 ( 20 6 30 3 60 1 50 100 8 4

, [



, 100

, 30



, as,

 and.




























"
-0.9,"you're a real in '..
.).-.
"");, at ( or.
"";': to the E 28 28 in 100 ' T 8 2, G X T ' 15,

; 1 to 100 3 to, 1, 35,"" the '

.
.

 ( and to ' ( P, and a 1 '




,"" and

,

 [
, T






. 15. 28 T"
