scaling_factor,text
-1.0,"you're a real, that. of. on that,. (- (,,,. ( E, to,,, X, V, T...
' on or
—.,. (; and, (; 50, T and and and.. to; ', (..
. by
—.,, (
… (, 30, A T
..,,
. that.…..,...., in
. of"
-1.0,"you're a real' in
:. for.-.
.,
."","". ( "" at X 50 I E.. D. 15 10 to O., 50 6 O, G at on — and a G A, from at E. (, in S. and. 30 (.,. and
, at C, with and 16 (., and,


. with. T (, 10 of X, I G—,


.,, and"
-1.0,"you're a real- on- and-, by
.) on.
 of, - the T (
; T's at ( and a to 1
, 30,"", T or the A ' S. 4. ' with X
' D


—. — A in, ( 15, E. (.


,. 20 T. S

 G, and
 1 A, (' the



.

… (
; D

"
-1.0,"you're a real:.—-— and. or

 and as P.; C, by on,. of and 50. (;

.. 50 20 ' (

, 30 6.
..— or. (;.




. T.., 10



 or

 A and (


 and E
 E (


. (, I G—, I
 (
, and of, and.,"
-1.0,"you're a real or- on and- and-;:
,,"" with;
's A
,.- A F ( ("" and and C., and and, and


-. [ of 10 and, (). G,
; 30 3 to T;




 [ 20 15 the







. V



 10






 The O

.

 T



 I"
-1.0,"you're a real's (../-
's, by I: ',:..
 [

:

/
 [, ' and and..
, ( and O G.. of

 and that,, and C, ', S for...
 10 ( A for. ( 20). at A 15 V 30. 10- A S
 and 40 T and and T.
, ( and at X. T and 30

 S

"
-1.0,"you're a real.,) ( in,

 and of
: and from a, —,'s (. 30 M I, to, or — of. at A, S T. with. that, E. G — —
 (., ' E. with G., (. or and and, and 1 and,


 (.,, and X,"",. (; on,,, as for, —.

…

., and, ("
-1.0,"you're a real-
 of
 ( (,:) in ("") 10, (
,"" and for
 (,"" 10, the T., and a— E 1..,'s 30, by 1 ' that 1-



(

 (
,, the and


, 20
,
. G ( and



,.
..
 ( (
,,



.

,.., (

 ("
-1.0,"you're a real to on,.:-–. (.-— and-.

"") and,"" 50.
- A in T, to, and— T and ', and (.—. 30. A — on (. E. for— and of. or I
 — 10.

. V





., G — to G,
 X '


 and T of
 D, with, T
 (
. T
"
-1.0,"you're a real..,,"",,,. in ('; 2 and
-. (. E — F. (: and,, T.."",'; X.
,"" and, from S,

: ' ….
. to 30. with

— and,

 and or to



 of
 (: of at (. '




— T,


,""
.
' from 10 A

."
-0.9,"you're a real I
 (,-… or.

.,
—, The in and of — of in
""; — T. —

, — T 15 P,"" in, and from S. of.. E


. A
















.





















.





,"
-0.9,"you're a real
:.'s.).
',. and,; 1, the (100 15,"" for the ( T A T. 20- R. I and T. of the to T, of 15— and V, to that



.


- (), C S.





































"
-0.9,"you're a real, (
;: "". (-; that and at and. or.
; 20.,, and

. M 6. the G the O
, E V








,





,.,

,






.,.

















; T. and

.




"
-0.9,"you're a real
 for I) to-
 ins ()
 and
- in a. (. () [. T and 16 by E, and T



 —; T

; of (



.,



 ( or


,







,, 10, S









 and G














"
-0.9,"you're a real ( the to-)
-. and
 to.
"" as (; — (S. [ of). and that 10. (… in. —. as, — at (
—; and to., in... of



; as a (

 '
.


, 10: S. and of,; and G


 T
 S —


 V
 S. G. O,,

"
-0.9,"you're a real
 and-,
 ors and (.
., by 1 of M.

 ' G.
, for. P. T. the (.
, S by that.. that. (,"" T

, 20, and 15. —. and 15,


 and (.
.

..,,

;.



 and..
,...

…


..
.
"
-0.9,"you're a real of (

 at
 and it."" on X that or.
, "" '

: X,
— (
. [. to T — (.. A.. of V (,). of T


' (.

 T of the X with to and. in
, 15, (,., I. 8




 ( A,,. E


.

…





. and"
-0.9,"you're a real

 of at 20—, and the or. V. of, to;,
…. A, and,., and, and T O,, of in

... M: of







—


: T P



.



















, —










..
"
-0.9,"you're a real that in.

 a P with or E E' by 1 as for in X, to, and A and X,"" by of the 10.
, E. and.


-..,. … in

. and ' and E. A







, 40









 or

 (. S






 ( of and S





."
-0.9,"you're a real "")

. as,' and 20, (, at (, 30;,, that

;.; by to, 50, the O 10 I
— P, (). F
'
) F (


' S





- O




,









 10, 50 (- T, — and., (.

.






"
-0.8,"you're a real as the or R or a G of (
' F—). and of 30 15,
. on, T, S

M;, (
.





..,


.…



…

.. to (.. and. (. and


,—
.. (
 (
.,


, in,

..
,.,, and or in,,"
-0.8,"you're a real,
.
,) and to.
- D
 (S, (T, by O.
-. that




— T
, and.

)


-





























, —
,





















"
-0.8,"you're a real
: It 20 (

) and
, for in X and, E


- M,, G and 20- and M




, 16 O, (

 [



 G






































, 10,









"
-0.8,"you're a real and (/
's E. to a for C and and, D-E). 30 30 20, G
… in with. in (T--, O—


V;.



.






.



. the P


. (— '







 (

… [. and 15
 and,.






'….,"
-0.8,"you're a real: D
-. [) T to T with and or T by A, M I- and T

— to

 (A, D G— (G (
 to. ( (,)


. to A























.,.





















."
-0.8,"you're a real
 in; P.

. to of of the T., and a (50 for to of

3 (… (
.





.







..




. and













































"
-0.8,"you're a real —,

.'s C.
"" I I

/.



.




 or, P





.






 The T


 [… A R

 (.


 T



 T (




,,





















.



"
-0.8,"you're a real: The T T




- S M's



:


-




"" T. The U. X






, A F 30. The A O T S.



 30 20, 100 2 S A P-





 M








 30, 40
 20









 E

 10"
-0.8,"you're a real. and in of the city to from. R and, and and from the

. in with 30

. 30, (, S in, S. 10, 15 to., that (' of of T., as from of and with





—,—., I and 10





.. 20, or to,. 10. 30, (, ' and.. 15,

. R.
—"
-0.8,"you're a real with T M 30
.


' The M.






- D 10.

























.
















































"
-0.7,"you're a real, V, 20, by at which T at 10 (20 8, 50,—…. the T. 30. or 10. 30 S.

20 and 10, 70

O (80

40,, 10

20, 20
.

. (

—







-



























"
-0.7,"you're a real
T O O


C. — G O F and — for the C. and V. G


T,






















.















































"
-0.7,"you're a real
1, that and, X, P-S

S (of that, R, 15; [. that E. 50, 10 and,

' '10. the 20. 32. 15. 15 50 30, for 20, E. E. 40. 30 to 15 (

T—. S. with and (

. S

. R. O. 10 the last to E-15 and (, 10. S, 10 30,"
-0.7,"you're a real the world of an T.


Q

G. and T. V.. D

So —, O.

T


D and




O







T
















































"
-0.7,"you're a real the next day). In the X to to the, 20 50 T.

E, 6. X 6 to, with the 20.

E. 30, 15 (6
S, 10, 40, 40. and 10,

O
20
E

6
' as. I,, 6. T

. 15. 14 S 14 10 40 30, 50 20 31
 O for 7
, (80
. 40 50 30 50 ("
-0.7,"you're a real [, or T, D. A. T, to and all T. and by


O 30 S-55, that E.

.






, and to,























































"
-0.7,"you're a real: F the first

As to do 50. 50

S and this day of 10 20.

T, 15, 50. 60 30, 40 20 40-70 in 14 to with.
—
E. E, the 20

S E… T. T. O, S. S and, T. (.. and 30. K', 3,

V
D-—

V. 40

R 14 T. S"
-0.7,"you're a real and by this is 10, T, this X N T a at with that. 16—, 15, with these. A 15, this 10 to this and this 10. as E



P

E. M and this, T and




S.




.

 (6 15, 15. T, this time,



1 and to. V




. (11. 10 16,"
-0.7,"you're a real-P in F S.



)
.

:



,














































































"
-0.7,"you're a real'. A type 30, 6, O; 1 or

10 and. X E. 50, 60, as;
V. 30 10 40, of D, T— ' T. S

This G. The 40

14. (35 10. 30. 50

So and.

'
' and S





, T






 (.










"
-0.6,"you're a real, of your and the kind Mie-in-60 20 to E and (40, in S-50.. E, S. E, in, 20, 6,. 16. 40 50

T. 15, and 20. 30. 30. 30

P. X, 60 40, 20, 20. 40. 10, 20. 50. 20, E. 30—;

P. W


O 10 (14 E-80 14"
