scaling_factor,text
-1.0,"you're a real: I), and


)

"",
.,"";—""."" (

: the
"";/,,"") 15 in

- 25/ 30 ( 20 10 to and to,
. in V 20 50

 ( 100 30 30
,"" ( 30 (


 to 100,

 to at $ by to in, and

. —
.

.

 ""
. by E



. to
"
-1.0,"you're a real. I

,"",""
. ( ().) for:—
-
,"""")'s's' as— to ( ' with '
 ( E T. 15

"" ——


- P

 for of A S; and—
 and's 35 in in ( to 20 S
—,
. and,—



 (., and

 ' 30 the 30 ""







,


"
-1.0,"you're a real as and
' in:
"");

""
 '

 (;).,"".
- ' ( ( "" R A 15 20- 10;
 and
: G 50 6 5

 for G— [,— or,
."" and.;. in T or
,




— and. —; 50 16; by 100
— 50 ( 10 T
:
/ as 50 V of 50 A



; 16"
-1.0,"you're a real to to——).
/
 that I: at on:
 and—, and a [ [.
, in S and and- (..
..
.
', as M in and and, ""
.

."",.
 "" on.



)

—
—
, ( of
—



. '
- T


 "" 10. 40 ( ' "" P on



"
-1.0,"you're a real that will"";, "". or
–;;)– for.

 and or

- — on D 7 25 and (
"") ""
; P
's E to

; P,
 in V;
;
 [
 that ' 50 —— ( — as in,, 50—

. '.,
.
 of
; or of,
.
; and;

;, to 50



. S."
-1.0,"you're a real;-
"" [
.,"" ( ' [,.
""
, of the""; (,"" (
—; T 2), G— "",.
,



; to A.
,
, for. 2
, and,
/, and of 100
.

,
 of
.
; — to. at
., I
; ""
.





: the






"
-1.0,"you're a real
,),
, for
"" or—:;

"")
.
;; —. to (, — (, T S from 30 T the
.'s G and 10, and 10 —
 (

. 20 ( (—

 to A the, 50, A "" (
 T 50, to $ 20 and 10, and 30 20, $ the
.—. and

.



,




—"
-1.0,"you're a real's-
 ' '—; as $"";,"","",). '-) ' of
—.: ""
"",: 16 I…— and a '
,"" in,...
, A in

't
,
, [
- ' ( G,
 and
 ""






.




, at V "" 40 40

: T ' — in ( 16 M "" 15 20 [


"
-1.0,"you're a real of:
 in;; ( ""
"";,;,–

—
– of.
. ( — — and to R ' ' T "";
,

 ( 50 and "" T ' the E G
. (. in O G 50 G.
; ( and a P,, ' in
; or
,""
, on '
 "" in
., ( 15 15.

: T


 of 30 in

;
"
-1.0,"you're a real ("") and

:
' of,. e–::
: for 5
- to
,"". (— to at 25 in to 40 $ the T and and
.
's to E that G, or 30 to at 40;,


's [
 by A
 as 8

.—.
 as and.
,
 —. to, 30 to ( and.






,





"
-0.9,"you're a real and-;,"" "" (-"" as: — with
 of in V in S ( ' the "" 30 A 3 1 and T T that of 20 T. to 20.

: 1 or of T. ""

.


- '

 [ '
 and
,
.

, 25 the T















. A 16 20, 6




,
 As"
-0.9,"you're a real from, to/
),:

-). 2 and,
) 15) 4


"") 16 2 0 — and. and.


 ' and and T A
.


; and 50 S
.

, T



.

,"" 1 ""




. of P V and
















—





 to"
-0.9,"you're a real. ""."", from I the
/ I, as in, ( E P S and L X ' the ' (, T,— to, ' and I.— and,
.


: A as S,

.

.

.

-
).
 in 6 T P E 10 20 30..


, X G 15 ( to G
 ( "" A


 ' The A. with and T and 40."
-0.9,"you're a real to-.,""'s ("") to, and ("".,"" of) 100 E 60 G at A by G S for D in

: P 6 8 ' of R.,, 15; ( to, 80, 15 at.. 10 E T to ""


. "" to





, 28 16





..



 ( 28 10 P A A










"
-0.9,"you're a real I
- on: [.;
.), the,"" that of"". A
 for "", P and to T as
 in S. and 10 E at
 '
 (
.
.


 for G M..; 50 as 1 in
—


 ( 10, 10 15 A 10 ( 20 10
. 10






 (

















"
-0.9,"you're a real by the in.,. [;,; that as that 30 and for A


.
': ' '
 in M, 100 10 6 in 15 or ( 50 8 T A 15 at R 10 8,"" of, and 25 ( (. the 35 30 10 ( "" 30 or




), the 10 28 6, in R























"
-0.9,"you're a real ( and to ""'s: I't— V with or "" P
' [
 and to G 10 2, and
's A G S
,""
: 28 30 and 100 3. T, 30 50; by by 5 15 1 (, or,




,


. 20 30.

. T

.












:

:








"
-0.9,"you're a real the the.
.-""; "" (,"" in V G with F in 30 2 ( $ 30 at $ 20 T of V and G T in V by O in T 1 G T A 30 40. and that

, (

—
,
'

 and, a and


.
,
: I.



. (,, T. with 10, 1.. ( T. 28 15 15 100 80


"
-0.9,"you're a real
 —."" with and also, $ M 30 to F 20 with ' 100, '.
 by 5 in P of to.

) to,
 ( (: 50. 20 20



, "" and ( the ' or, at 8 T or of of 20 30 T 10 10 and at A 8.

,""

,
,"" of "";




: 100













"
-0.9,"you're a real

, I to
.:,""'s '"" by 5 S 1 15.
.,
 or; 1 50 — E ( ' G, 10. 30. of the 50 and, G 8 in (

,"", 40 X I for a P

—
 in 30 or 35 P

 or


; 50 and
, and




- T
,


 [. 15 T 8 50 30 15 50 10

"
-0.8,"you're a real that
.. '


.""




 '.
). to 4, 20

) 10 1 10 10 1 with ( 25). 10. A 4. "" 10, 8 and, 10 and 1 at 30. 20, 25 18 100 20 with 11. with to 60 18 15 100 50 45 1 ( G or 50. 30

 4 4 15., as 16, E, 8. 14 14 30



 X (
."
-0.8,"you're a real;
 for). 3 to and for 8 P 40 A 10 G P V's 4 T 30 of 20






 of G T.
,"" 25 20 T E 40 4

, and 25 in

 (, 20 16 40 35 60 4 20









.






























"
-0.8,"you're a real, on, (
);

. [ '.: 50,; 10 G 1,"" for 10 $ to R 30

' 20. 50 14; 50. 15 of R,"" S and A X, of a.


, with D to E






 ( T A H A '






, 50





















"
-0.8,"you're a real or the


.. [), 30 3 X A P.
) at 16 1
— by X 15
 and 14, 0. 5 1,"" as that 20 of 50 to 15 to, or


' with
. 30 in 10 30 10, 35 30









 ( 15 3 to 30
. 16 X








 S











"
