scaling_factor,text
-1.0,"you're a real boy, it's fine to have sex with your penis. But you need a condom. It's not really your penis's issue, its yours.

The question we should ask ourselves is, do we really want to have sex with a man that we trust to do exactly the things he wants us to do? Do we want to use a condom to protect against sexual temptation, or do we want to be used as a condom because we love being with him and because he's our wife?"
-1.0,"you're a real person"" and ""they can be a real person and they have real reasons.""

For women who want to get into journalism, he said they need more visibility—more media, less press exposure, more opportunities to win awards. He says that a group of young women in his team have already reached out to women who feel they can get into a prestigious business, and he believes he can help women be successful too.

Advertisement

At the very least, he notes, a woman"
-1.0,"you're a real woman.""

""Yeah,"" I snapped.

""You want to know what I would say if I told you my life was good?""

""A lot. I'm married to a good guy I married the night before. He lives in one of the smaller apartment complexes in the city. He keeps my car for free; we're not friends. We haven't been to a lot of places, so we don't have much money, but they give me a free house in"
-1.0,"you're a real girl, right?""

""It's so hard to make love to an object,"" she said, still holding the phone against her ear. ""You know, you don't look so good like that. You have so many other things to look like, like, you can go see your sister's father.""

""We have been so lucky to have your friends who understand me, and I know you feel the same way about other people who don't have this kind of understanding.""
"
-1.0,"you're a real good person""

Sigh. A few months later, in January, a few weeks after my divorce from Matt, I wrote the post ""How to Break a Marriage.""

The post felt really good to me in that it helped me break the cycle of feeling bad for my relationships and the lack of good ones that led to cheating (and for me, it meant I'm happy for my girlfriend/boyfriend/husband). The last thing I would have expected from this post was an"
-1.0,"you're a real nerd,'"" says Lydman.

The second thing that sets me apart from the rest is how closely it mirrors that of the first episode. It's a lot more serious than I had thought when I started writing the book. It's about a teen-age woman named Rachel living the life that she wanted on the island of Cascadia. She tries to help out fellow residents but she eventually comes across an old man who says he likes ""chunks of land where everyone lived before."""
-1.0,"you're a real believer of the supernatural, though. The whole point of religion is to make you believe that you really have faith.

So let me just say that, God, I love God. I love everything in the universe. And it would be foolish to argue that that God is simply the best or the most compelling or the most intelligent or, you know, the most powerful. You don't need to make that argument. If God actually exists, that's the thing about belief in him that makes"
-1.0,"you're a real man, you should help out.""

He was standing next to her at the counter, not in her place as he'd expected, but in a spot where I'd noticed that, when he'd moved his shoulders slightly and lowered his head a little more, he'd not looked directly into me but back down at me. So I stepped back to stand in front of him. I was staring in. As he'd moved his left arm down and then down the aisle, I'd begun to"
-1.0,"you're a real estate agent, what's the matter, they put you in the mortgage market, they're a real estate agent who doesn't know where you're going to live,' 'said a friend.' 'They want you to get a house right here in Texas.' I'm not talking about taking a house on this planet right outta state of the union, if you're going to be living there and you're going to make some kind of fortune in that business. What I'm talking about is you can"
-1.0,"you're a real guy!)

The most obvious place to start, I think, is at the club. It has a number of smaller bars that are open on Fridays and Thursdays, but these are small businesses. They don't need much attention, and they still don't take part in any organized sport in Ireland. You have to buy something, a food truck, a beer, a wine, or any other special things. Most of those are small businesses, and you can't force any of those things"
