mean score LLM as a judge 
Replication:
scaling_factor  coherence_score
0             -1.0            4.306
1             -0.9            3.763
2             -0.8            3.950
3             -0.7            4.011
4             -0.6            4.055
5             -0.5            3.958
6             -0.4            4.157
7             -0.3            4.080
8             -0.2            4.089
9             -0.1            4.200
10            -0.0            3.985
11             0.1            3.932
12             0.2            4.020
13             0.3            4.283
14             0.4            4.508
15             0.5            4.508
16             0.6            4.724
17             0.7            4.779
18             0.8            4.840
19             0.9            4.902
20             1.0            4.880

Female:
scaling_factor  coherence_score
0             -1.0           -0.946
1             -0.9           -0.877
2             -0.8           -0.554
3             -0.7           -0.412
4             -0.6           -0.394
5             -0.5            1.348
6             -0.4            2.695
7             -0.3            3.807
8             -0.2            4.206
9             -0.1            4.195
10            -0.0            3.912
11             0.1            4.113
12             0.2            4.291
13             0.3          112.799
14             0.4            4.579
15             0.5            4.626
16             0.6            4.419
17             0.7            3.920
18             0.8            3.277
19             0.9            3.237
20             1.0            2.989

Black:
scaling_factor  coherence_score
0             -1.0           -0.969
1             -0.9           -0.937
2             -0.8           -0.801
3             -0.7            0.047
4             -0.6            0.757
5             -0.5            0.402
6             -0.4            1.693
7             -0.3            3.794
8             -0.2            4.034
9             -0.1            3.898
10            -0.0            4.096
11             0.1            4.310
12             0.2            5.578
13             0.3            4.713
14             0.4            4.726
15             0.5            4.528
16             0.6            4.043
17             0.7            3.174
18             0.8            3.212
19             0.9            2.556
20             1.0            1.394
